(Programmers,are)   1.0
(Rich,Cook) 1.0
(So,far)    0.5
(So,idiots) 0.5
(Universe,is)   0.3333333333333333
(Universe,the)  0.5
(Universe,to)   0.16666666666666666
(a,in)  0.5
(a,race)    0.5
(and,better)    0.5
(and,bigger)    0.5
(are,Programmers)   0.5
(are,in)    0.5
(better,and)    0.5
(better,idiot)  0.25
(better,idiots) 0.25
(bigger,and)    0.5
(bigger,create) 0.5
(create,bigger) 0.5
(create,to) 0.5
(far,So)    0.5
(far,the)   0.5
(idiot,better)  0.5
(idiot,proof)   0.5
(idiots,So) 0.5
(idiots,better) 0.5
(in,a)  0.5
(in,are)    0.5
(is,Universe)   0.5
(is,trying) 0.25
(is,winning)    0.25
(programs,proof)    0.5
(programs,while)    0.5
(proof,idiot)   0.5
(proof,programs)    0.5
(race,a)    0.5
(race,with) 0.5
(the,Universe)  0.5
(the,far)   0.16666666666666666
(the,while) 0.16666666666666666
(the,with)  0.16666666666666666
(to,Universe)   0.25
(to,create) 0.5
(to,trying) 0.25
(trying,is) 0.5
(trying,to) 0.5
(while,programs)    0.5
(while,the) 0.5
(with,race) 0.5
(with,the)  0.5
